id,age,gender,country,is_student,education_level,years_coding,years_ml,job_title,salary_usd
14419,35-44,man,Brazil,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14420,35-44,man,Australia,No,university educated,3-10 years,2-5 years,data role,"$125,000+"
14421,18-24,man,India,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
14422,18-24,man,Viet Nam,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
14423,35-44,man,Colombia,No,university educated,3-10 years,2-5 years,non data role,"under $30,000"
14424,35-44,man,United States of America,No,university educated,3-10 years,2-5 years,non data role,"$125,000+"
14425,45-54,man,South Korea,No,university educated,3-10 years,0-2 years,non data role,"$30,000-$69,999"
14426,25-34,man,United States of America,No,university educated,3-10 years,2-5 years,data role,"$125,000+"
14427,35-44,man,Other,No,university educated,10+ years,2-5 years,unknown/unemployed,
14428,25-34,woman,India,No,university educated,3-10 years,0-2 years,non data role,"under $30,000"
14429,18-24,woman,Tunisia,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14430,45-54,man,India,No,unknown,none,unknown,unknown/unemployed,
14431,18-24,man,Algeria,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14432,25-34,woman,Cameroon,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14433,35-44,man,Italy,No,university educated,10+ years,2-5 years,non data role,"$30,000-$69,999"
14434,25-34,woman,Other,No,university educated,3-10 years,0-2 years,unknown/unemployed,
14435,25-34,man,India,No,university educated,3-10 years,2-5 years,unknown/unemployed,
14436,18-24,man,Nigeria,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14437,18-24,man,India,Yes,university educated,none,unknown,unknown/unemployed,
14438,45-54,man,Spain,No,university educated,10+ years,5+ years,non data role,"under $30,000"
14439,18-24,man,India,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
14440,25-34,man,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14441,18-24,woman,Nigeria,Yes,university educated,0-3 years,none,unknown/unemployed,
14442,35-44,man,India,No,unknown,3-10 years,5+ years,data role,"under $30,000"
14443,25-34,woman,India,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
14444,18-24,woman,India,Yes,university educated,3-10 years,none,unknown/unemployed,
14445,25-34,man,South Korea,No,unknown,0-3 years,unknown,unknown/unemployed,
14446,45-54,man,Spain,No,no university,10+ years,0-2 years,unknown/unemployed,
14447,25-34,woman,Netherlands,No,university educated,0-3 years,0-2 years,unknown/unemployed,
14448,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14449,25-34,woman,Australia,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
14450,35-44,man,France,No,no university,3-10 years,0-2 years,unknown/unemployed,
14451,18-24,man,Other,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
14452,25-34,man,Egypt,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
14453,55+,man,United States of America,No,university educated,10+ years,2-5 years,data role,"$125,000+"
14454,45-54,man,Brazil,Yes,university educated,0-3 years,none,unknown/unemployed,
14455,25-34,man,United Arab Emirates,No,university educated,0-3 years,none,data role,"$30,000-$69,999"
14456,25-34,man,India,Yes,unknown,0-3 years,0-2 years,unknown/unemployed,
14457,18-24,woman,Saudi Arabia,Yes,university educated,none,unknown,unknown/unemployed,
14458,25-34,woman,India,Yes,university educated,10+ years,5+ years,unknown/unemployed,
14459,25-34,man,India,No,university educated,0-3 years,2-5 years,non data role,"under $30,000"
14460,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14461,25-34,man,India,No,unknown,3-10 years,unknown,unknown/unemployed,
14462,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14463,25-34,man,Mexico,Yes,unknown,unknown,unknown,unknown/unemployed,
14464,25-34,man,United States of America,No,university educated,3-10 years,0-2 years,non data role,"$125,000+"
14465,25-34,man,Taiwan,No,university educated,0-3 years,0-2 years,unknown/unemployed,
14466,45-54,woman,United States of America,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14467,18-24,man,United States of America,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
14468,18-24,man,India,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
14469,25-34,woman,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14470,25-34,man,India,No,unknown,0-3 years,none,unknown/unemployed,
14471,25-34,man,India,No,no university,3-10 years,2-5 years,data role,"under $30,000"
14472,25-34,man,India,No,unknown,0-3 years,0-2 years,unknown/unemployed,
14473,35-44,other,Kenya,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14474,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14475,45-54,man,United States of America,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14476,18-24,woman,India,Yes,unknown,0-3 years,none,unknown/unemployed,
14477,25-34,man,Thailand,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
14478,25-34,man,Other,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
14479,45-54,man,Mexico,No,university educated,10+ years,0-2 years,non data role,"$30,000-$69,999"
14480,18-24,man,United States of America,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14481,25-34,man,Nigeria,Yes,university educated,none,unknown,unknown/unemployed,
14482,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14483,18-24,woman,India,Yes,university educated,0-3 years,none,unknown/unemployed,
14484,18-24,woman,Zimbabwe,Yes,university educated,0-3 years,unknown,unknown/unemployed,
14485,25-34,man,Egypt,No,university educated,3-10 years,0-2 years,unknown/unemployed,
14486,35-44,man,United States of America,No,university educated,none,unknown,unknown/unemployed,
14487,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
14488,18-24,man,India,Yes,unknown,0-3 years,0-2 years,unknown/unemployed,
14489,18-24,man,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
14490,18-24,man,Nigeria,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
14491,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14492,45-54,man,Russia,No,university educated,10+ years,2-5 years,non data role,"under $30,000"
14493,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14494,35-44,woman,India,Yes,university educated,10+ years,0-2 years,unknown/unemployed,
14495,25-34,woman,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14496,25-34,man,India,Yes,unknown,3-10 years,0-2 years,unknown/unemployed,
14497,25-34,other,United States of America,No,no university,0-3 years,0-2 years,unknown/unemployed,
14498,25-34,man,United States of America,No,university educated,3-10 years,2-5 years,data role,
14499,25-34,man,South Korea,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
14500,55+,man,United States of America,No,university educated,3-10 years,2-5 years,non data role,"$70,000-$124,999"
14501,45-54,man,United States of America,No,university educated,10+ years,2-5 years,non data role,"$125,000+"
14502,18-24,man,Indonesia,Yes,university educated,none,unknown,unknown/unemployed,
14503,55+,man,Spain,No,university educated,none,unknown,non data role,"$30,000-$69,999"
14504,18-24,man,Sri Lanka,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
14505,18-24,man,India,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
14506,25-34,man,Egypt,No,unknown,unknown,unknown,unknown/unemployed,
14507,55+,man,Portugal,No,no university,10+ years,0-2 years,unknown/unemployed,
14508,35-44,man,United States of America,No,university educated,3-10 years,2-5 years,non data role,"$125,000+"
14509,35-44,woman,Australia,No,university educated,3-10 years,5+ years,non data role,"$125,000+"
14510,35-44,man,Japan,No,university educated,10+ years,5+ years,data role,"under $30,000"
14511,18-24,woman,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
14512,18-24,woman,Other,Yes,university educated,0-3 years,none,unknown/unemployed,
14513,18-24,woman,Tunisia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14514,35-44,man,United States of America,No,university educated,3-10 years,0-2 years,non data role,"$30,000-$69,999"
14515,35-44,man,Italy,No,university educated,10+ years,5+ years,data role,"$30,000-$69,999"
14516,55+,man,Malaysia,No,university educated,0-3 years,0-2 years,unknown/unemployed,
14517,18-24,man,India,Yes,university educated,none,unknown,unknown/unemployed,
14518,35-44,woman,Canada,No,unknown,unknown,unknown,unknown/unemployed,
14519,35-44,man,Italy,No,unknown,3-10 years,2-5 years,non data role,"$70,000-$124,999"
14520,18-24,woman,China,Yes,university educated,0-3 years,none,unknown/unemployed,
14521,25-34,man,India,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
14522,25-34,man,India,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
14523,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14524,25-34,man,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
14525,18-24,woman,India,No,no university,0-3 years,0-2 years,non data role,"under $30,000"
14526,55+,man,United States of America,No,university educated,10+ years,5+ years,data role,"$125,000+"
14527,18-24,man,Egypt,No,university educated,3-10 years,2-5 years,data role,
14528,18-24,man,Egypt,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14529,25-34,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14530,25-34,man,Other,No,university educated,3-10 years,none,non data role,"under $30,000"
14531,25-34,man,Colombia,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14532,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14533,25-34,other,United States of America,No,university educated,none,unknown,non data role,"under $30,000"
14534,25-34,woman,United States of America,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14535,35-44,man,South Korea,No,university educated,3-10 years,2-5 years,data role,"$70,000-$124,999"
14536,55+,other,India,No,no university,10+ years,0-2 years,unknown/unemployed,
14537,18-24,man,Ethiopia,No,university educated,none,unknown,unknown/unemployed,
14538,18-24,woman,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
14539,25-34,woman,Nigeria,Yes,university educated,0-3 years,unknown,unknown/unemployed,
14540,35-44,man,Brazil,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14541,18-24,man,Egypt,Yes,unknown,0-3 years,none,unknown/unemployed,
14542,18-24,woman,India,Yes,university educated,none,unknown,unknown/unemployed,
14543,35-44,woman,India,No,unknown,none,unknown,non data role,
14544,25-34,man,Other,No,university educated,3-10 years,5+ years,data role,"$30,000-$69,999"
14545,25-34,man,Poland,Yes,university educated,0-3 years,none,unknown/unemployed,
14546,25-34,man,Nigeria,No,no university,0-3 years,0-2 years,unknown/unemployed,
14547,18-24,man,India,Yes,unknown,0-3 years,0-2 years,unknown/unemployed,
14548,25-34,man,Brazil,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14549,45-54,man,United States of America,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
14550,18-24,woman,Other,No,university educated,none,unknown,non data role,"under $30,000"
14551,25-34,man,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
14552,35-44,man,Other,No,university educated,3-10 years,2-5 years,data role,
14553,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14554,35-44,man,United States of America,No,university educated,10+ years,2-5 years,data role,"$125,000+"
14555,25-34,woman,United States of America,No,no university,0-3 years,0-2 years,unknown/unemployed,
14556,35-44,man,Colombia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14557,25-34,man,Pakistan,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
14558,18-24,woman,India,Yes,no university,0-3 years,none,unknown/unemployed,
14559,18-24,man,Nigeria,Yes,university educated,none,unknown,unknown/unemployed,
14560,35-44,man,Other,No,university educated,0-3 years,2-5 years,data role,"under $30,000"
14561,45-54,woman,India,No,university educated,0-3 years,0-2 years,unknown/unemployed,
14562,35-44,man,Chile,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
14563,35-44,man,Nigeria,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
14564,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14565,25-34,man,Canada,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14566,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14567,35-44,man,Bangladesh,No,unknown,3-10 years,none,non data role,
14568,25-34,man,Other,Yes,no university,none,unknown,unknown/unemployed,
14569,35-44,woman,United States of America,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
14570,25-34,man,India,No,university educated,none,unknown,unknown/unemployed,
14571,18-24,woman,Brazil,Yes,university educated,0-3 years,unknown,unknown/unemployed,
14572,25-34,man,India,No,university educated,0-3 years,none,data role,"under $30,000"
14573,18-24,woman,United States of America,No,university educated,0-3 years,none,non data role,"$30,000-$69,999"
14574,35-44,man,Chile,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14575,25-34,woman,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
14576,45-54,man,Other,No,university educated,3-10 years,2-5 years,non data role,"$70,000-$124,999"
14577,35-44,woman,Turkey,No,university educated,10+ years,0-2 years,non data role,"under $30,000"
14578,18-24,woman,United States of America,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
14579,55+,man,Other,No,university educated,10+ years,5+ years,non data role,"$30,000-$69,999"
14580,55+,man,Hong Kong (S.A.R.),No,unknown,10+ years,none,data role,"$70,000-$124,999"
14581,18-24,man,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
14582,45-54,man,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
14583,25-34,man,India,No,university educated,3-10 years,none,non data role,
14584,35-44,woman,United States of America,No,no university,none,unknown,unknown/unemployed,
14585,18-24,woman,Other,Yes,university educated,none,unknown,unknown/unemployed,
14586,18-24,man,Kenya,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14587,25-34,man,Spain,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
14588,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
14589,25-34,man,United States of America,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
14590,35-44,man,India,No,university educated,10+ years,unknown,unknown/unemployed,
14591,45-54,woman,United States of America,Yes,university educated,0-3 years,none,unknown/unemployed,
14592,35-44,man,Nigeria,No,university educated,0-3 years,0-2 years,data role,"$30,000-$69,999"
14593,45-54,man,Colombia,No,university educated,0-3 years,unknown,unknown/unemployed,
14594,45-54,man,Spain,No,university educated,3-10 years,5+ years,data role,"$70,000-$124,999"
14595,25-34,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
14596,25-34,man,Spain,No,university educated,3-10 years,2-5 years,data role,"$70,000-$124,999"
14597,35-44,man,Indonesia,No,university educated,0-3 years,unknown,unknown/unemployed,
14598,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
14599,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
14600,25-34,man,India,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
14601,55+,man,Japan,No,no university,10+ years,0-2 years,unknown/unemployed,
14602,18-24,man,Nigeria,No,university educated,none,unknown,data role,"under $30,000"
14603,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14604,35-44,man,France,No,university educated,3-10 years,0-2 years,data role,"$30,000-$69,999"
14605,45-54,man,Other,Yes,university educated,3-10 years,unknown,unknown/unemployed,
14606,25-34,man,Brazil,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14607,18-24,man,India,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
14608,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
14609,35-44,man,Saudi Arabia,No,university educated,10+ years,2-5 years,data role,"$30,000-$69,999"
14610,18-24,woman,India,Yes,unknown,0-3 years,0-2 years,unknown/unemployed,
14611,35-44,woman,India,No,university educated,3-10 years,unknown,unknown/unemployed,
14612,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
14613,45-54,man,Saudi Arabia,No,university educated,10+ years,none,non data role,"$125,000+"
14614,45-54,man,United Kingdom of Great Britain and Northern Ireland,No,university educated,10+ years,5+ years,non data role,"$70,000-$124,999"
14615,45-54,man,Australia,Yes,university educated,10+ years,5+ years,unknown/unemployed,
14616,18-24,man,Malaysia,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
14617,18-24,other,India,Yes,university educated,none,unknown,unknown/unemployed,
14618,18-24,man,United States of America,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
14619,18-24,man,Egypt,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14620,18-24,other,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14621,18-24,man,India,Yes,university educated,none,unknown,unknown/unemployed,
14622,18-24,woman,India,Yes,unknown,0-3 years,0-2 years,unknown/unemployed,
14623,18-24,other,Japan,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
14624,25-34,man,United States of America,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14625,45-54,woman,Malaysia,No,university educated,10+ years,0-2 years,non data role,"under $30,000"
14626,18-24,woman,India,Yes,university educated,0-3 years,none,unknown/unemployed,
14627,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14628,25-34,man,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
14629,25-34,man,Australia,No,university educated,3-10 years,2-5 years,data role,"$70,000-$124,999"
14630,25-34,man,United States of America,No,university educated,3-10 years,2-5 years,unknown/unemployed,
14631,25-34,man,Other,No,university educated,10+ years,0-2 years,non data role,"$70,000-$124,999"
14632,18-24,man,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14633,45-54,man,United States of America,No,unknown,unknown,unknown,unknown/unemployed,
14634,25-34,woman,United States of America,Yes,university educated,0-3 years,unknown,unknown/unemployed,
14635,18-24,man,Egypt,No,university educated,0-3 years,0-2 years,unknown/unemployed,
14636,35-44,woman,India,No,unknown,10+ years,none,data role,
14637,18-24,man,China,Yes,unknown,unknown,unknown,unknown/unemployed,
14638,35-44,woman,Brazil,Yes,university educated,none,unknown,unknown/unemployed,
14639,18-24,man,Ethiopia,Yes,no university,3-10 years,2-5 years,unknown/unemployed,
14640,25-34,man,China,No,university educated,3-10 years,2-5 years,data role,"$30,000-$69,999"
14641,35-44,man,India,No,university educated,3-10 years,0-2 years,unknown/unemployed,
14642,45-54,woman,United States of America,No,university educated,0-3 years,none,non data role,"$30,000-$69,999"
14643,45-54,man,India,No,university educated,none,unknown,non data role,"under $30,000"
14644,18-24,woman,Nigeria,Yes,university educated,0-3 years,none,unknown/unemployed,
14645,18-24,man,Brazil,Yes,university educated,0-3 years,none,unknown/unemployed,
14646,35-44,man,Nigeria,No,university educated,0-3 years,none,data role,"$30,000-$69,999"
14647,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14648,25-34,man,Romania,No,university educated,3-10 years,0-2 years,unknown/unemployed,
14649,35-44,woman,Viet Nam,Yes,university educated,none,unknown,unknown/unemployed,
14650,25-34,man,Kenya,No,university educated,3-10 years,0-2 years,non data role,"under $30,000"
14651,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
14652,25-34,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14653,25-34,man,India,Yes,unknown,0-3 years,0-2 years,unknown/unemployed,
14654,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14655,25-34,man,Thailand,No,no university,0-3 years,none,non data role,"$70,000-$124,999"
14656,25-34,woman,India,No,university educated,0-3 years,none,non data role,"under $30,000"
14657,35-44,man,India,Yes,university educated,10+ years,2-5 years,unknown/unemployed,
14658,25-34,man,Canada,Yes,university educated,10+ years,2-5 years,unknown/unemployed,
14659,25-34,woman,United States of America,No,university educated,3-10 years,0-2 years,unknown/unemployed,
14660,35-44,other,Taiwan,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
14661,35-44,man,India,Yes,university educated,10+ years,0-2 years,unknown/unemployed,
14662,35-44,man,India,No,university educated,none,unknown,data role,"$125,000+"
14663,25-34,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14664,35-44,man,Other,No,university educated,0-3 years,none,data role,"under $30,000"
14665,18-24,man,United Kingdom of Great Britain and Northern Ireland,No,no university,0-3 years,0-2 years,data role,"$30,000-$69,999"
14666,25-34,man,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
14667,35-44,man,South Africa,No,university educated,3-10 years,2-5 years,non data role,"under $30,000"
14668,18-24,man,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
14669,25-34,man,United States of America,No,university educated,10+ years,none,data role,"$30,000-$69,999"
14670,25-34,man,India,No,university educated,3-10 years,5+ years,data role,"$30,000-$69,999"
14671,18-24,man,India,Yes,no university,0-3 years,none,unknown/unemployed,
14672,18-24,man,India,Yes,university educated,3-10 years,none,unknown/unemployed,
14673,35-44,man,Nigeria,No,university educated,none,unknown,data role,"under $30,000"
14674,18-24,woman,Brazil,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
14675,45-54,man,Israel,No,no university,3-10 years,unknown,unknown/unemployed,
14676,25-34,man,United States of America,No,university educated,0-3 years,none,non data role,"$70,000-$124,999"
14677,18-24,woman,Egypt,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14678,35-44,man,United States of America,No,university educated,0-3 years,none,data role,"$70,000-$124,999"
14679,25-34,man,India,No,unknown,none,unknown,data role,"under $30,000"
14680,18-24,man,Turkey,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14681,25-34,woman,United States of America,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14682,18-24,man,I do not wish to disclose my location,No,unknown,0-3 years,0-2 years,non data role,"under $30,000"
14683,18-24,man,Morocco,Yes,university educated,0-3 years,unknown,unknown/unemployed,
14684,18-24,man,India,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
14685,25-34,man,Czech Republic,Yes,university educated,10+ years,5+ years,unknown/unemployed,
14686,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14687,25-34,woman,India,No,university educated,3-10 years,none,non data role,"under $30,000"
14688,18-24,man,India,No,university educated,0-3 years,0-2 years,unknown/unemployed,
14689,35-44,man,India,No,university educated,0-3 years,none,non data role,"under $30,000"
14690,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14691,25-34,man,Taiwan,No,university educated,3-10 years,none,non data role,"under $30,000"
14692,18-24,other,United States of America,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14693,25-34,woman,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14694,45-54,woman,Philippines,No,university educated,none,unknown,unknown/unemployed,
14695,55+,man,Morocco,Yes,unknown,10+ years,2-5 years,unknown/unemployed,
14696,18-24,man,Nigeria,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
14697,18-24,woman,India,No,university educated,0-3 years,none,data role,"under $30,000"
14698,25-34,man,Russia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14699,25-34,man,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
14700,25-34,man,Ethiopia,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
14701,55+,man,United States of America,No,university educated,10+ years,0-2 years,non data role,"$125,000+"
14702,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14703,18-24,woman,India,No,university educated,none,unknown,unknown/unemployed,
14704,25-34,man,India,No,university educated,3-10 years,none,non data role,"under $30,000"
14705,18-24,woman,China,Yes,university educated,none,unknown,unknown/unemployed,
14706,35-44,man,China,No,university educated,3-10 years,5+ years,data role,"$30,000-$69,999"
14707,35-44,man,United States of America,No,university educated,3-10 years,5+ years,non data role,"$125,000+"
14708,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
14709,18-24,man,Mexico,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
14710,45-54,man,Spain,No,university educated,0-3 years,2-5 years,non data role,"$70,000-$124,999"
14711,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
14712,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14713,18-24,man,Brazil,Yes,no university,none,unknown,unknown/unemployed,
14714,18-24,man,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
14715,55+,man,Canada,No,university educated,10+ years,0-2 years,data role,"$70,000-$124,999"
14716,35-44,man,Other,Yes,university educated,unknown,unknown,unknown/unemployed,
14717,25-34,man,India,Yes,unknown,0-3 years,0-2 years,unknown/unemployed,
14718,25-34,man,Nigeria,Yes,university educated,0-3 years,none,unknown/unemployed,
14719,25-34,woman,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
14720,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14721,25-34,man,United States of America,No,university educated,3-10 years,2-5 years,non data role,"$125,000+"
14722,35-44,man,India,No,university educated,10+ years,5+ years,data role,"$30,000-$69,999"
14723,25-34,woman,United States of America,No,university educated,3-10 years,2-5 years,non data role,"$125,000+"
14724,35-44,man,Brazil,No,university educated,10+ years,5+ years,non data role,"$30,000-$69,999"
14725,45-54,man,United States of America,No,university educated,3-10 years,0-2 years,unknown/unemployed,
14726,25-34,woman,India,Yes,unknown,0-3 years,unknown,unknown/unemployed,
14727,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14728,18-24,man,Indonesia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14729,35-44,man,United States of America,No,university educated,10+ years,2-5 years,data role,"$125,000+"
14730,25-34,man,United States of America,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14731,25-34,woman,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14732,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14733,25-34,woman,India,Yes,unknown,0-3 years,none,unknown/unemployed,
14734,35-44,man,Brazil,No,unknown,3-10 years,0-2 years,data role,"under $30,000"
14735,18-24,woman,India,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
14736,35-44,other,United States of America,No,university educated,0-3 years,none,non data role,"$70,000-$124,999"
14737,45-54,man,France,No,university educated,none,unknown,data role,"$30,000-$69,999"
14738,55+,man,Nigeria,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14739,25-34,man,Singapore,No,university educated,3-10 years,2-5 years,data role,"$70,000-$124,999"
14740,25-34,woman,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
14741,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14742,35-44,woman,United Arab Emirates,No,university educated,0-3 years,unknown,unknown/unemployed,
14743,35-44,man,Brazil,Yes,unknown,0-3 years,0-2 years,unknown/unemployed,
14744,18-24,man,Ukraine,Yes,unknown,unknown,unknown,unknown/unemployed,
14745,35-44,woman,Poland,No,unknown,3-10 years,0-2 years,data role,"under $30,000"
14746,18-24,man,India,No,university educated,0-3 years,0-2 years,unknown/unemployed,
14747,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14748,35-44,man,Ethiopia,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
14749,25-34,man,Romania,Yes,university educated,10+ years,2-5 years,unknown/unemployed,
14750,18-24,man,Sri Lanka,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
14751,35-44,man,Ireland,No,university educated,10+ years,5+ years,data role,"$125,000+"
14752,35-44,man,South Korea,No,no university,3-10 years,0-2 years,unknown/unemployed,
14753,25-34,man,United States of America,No,no university,3-10 years,0-2 years,non data role,"$125,000+"
14754,25-34,woman,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14755,35-44,man,Mexico,No,university educated,10+ years,5+ years,data role,
